tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1568198853106565127,Deboruxa1,Ritalina,https://twitter.com/Deboruxa1/photo,0,0,0,False,2022-09-09T11:25:16+00:00,"Nao conhecia essa candidata a presidenta Sofia Manzano, 21. Vou votar nela!",[],[],[],[],https://twitter.com/Deboruxa1/status/1568198853106565127,
1568198381293473793,marisonl,Marison (4 doses) Limeira,https://twitter.com/marisonl/photo,0,0,1,False,2022-09-09T11:23:24+00:00,"Sim, consigo ver a palavra ideal fazendo algum sentido se usada dessa forma.

E temos que desenvolver alguma forma de tanto impedir que novos golpes como o de 2016 ocorram quanto reduzir os poderes de PGRs e presidentes da Câmara de impedir impeachments válidos de genocidas.",[],[],[],[],https://twitter.com/marisonl/status/1568198381293473793,
1568196438609256450,LeSarturiP,Letícia Sarturi,https://twitter.com/LeSarturiP/photo,1,0,2,False,2022-09-09T11:15:41+00:00,"O ideal mesmo é impedir a política de Bolsonaro de ter a mínima chance de ser continuada. Por isso, o voto é decisivo no 1º turno. Avaliar esse contexto político é essencial para escolhermos os nossos candidatos. Mas tbem sei reconhecer que o Lula foi um bom presidente sim.",[],[],[],[],https://twitter.com/LeSarturiP/status/1568196438609256450,
1568191770449612806,marisonl,Marison (4 doses) Limeira,https://twitter.com/marisonl/photo,1,0,1,False,2022-09-09T10:57:08+00:00,"Lula vai muito além de ser o menos nocivo.

E foi bom, comprovado, até para a casta dominante. Mesmo porquê, dentro do capitalismo, não é possível fugir disso sem revolução não.

Eu adoraria poder votar em 
@SofiaManzanoPCB
 no primeiro turno acreditando que ela teria chances.",[],['SofiaManzanoPCB'],[],[],https://twitter.com/marisonl/status/1568191770449612806,
1568187554251292673,VivaAComuna,bora de SOFIAMANZANO21,https://twitter.com/VivaAComuna/photo,0,0,1,False,2022-09-09T10:40:23+00:00,"Presidente: Sofia Manzano 21
Governador: Jones Manoel 21
Senadora: Eugenia Lima 500
Dep Federal: Victoria Pinheiro 2121
Dep Estadual: Luiza Melo 21021",[],[],[],[],https://twitter.com/VivaAComuna/status/1568187554251292673,
1568186947763376128,NoitesGuilherme,fim dos Dias,https://twitter.com/NoitesGuilherme/photo,0,0,0,True,2022-09-09T10:37:58+00:00,Sofia Manzano 21 essa é a candidata! É dessa mulher que a gnt precisa,[],[],['https://pbs.twimg.com/media/FcJ0L2iWAAAxY5D?format=jpg&name=small'],[],https://twitter.com/NoitesGuilherme/status/1568186947763376128,
1568185689426071552,BressaMano,Valdenir Bressa Mano,https://twitter.com/BressaMano/photo,0,0,0,False,2022-09-09T10:32:58+00:00,Mas você é uma vergonha! Falar em luta pela humanidade e defender o comunismo! É cômico se não fosse trágico!,[],[],[],[],https://twitter.com/BressaMano/status/1568185689426071552,
1568184451825377280,XavierNoticias,Xavier Hernandez,https://twitter.com/XavierNoticias/photo,0,0,0,False,2022-09-09T10:28:03+00:00,"""Não vou comentar"" realidade: não só comentou como se apropriou do tema para inflar sua candidatura. A sorte é que até o Eymael consegue ser mais relevante que sua bolha comunista, Sofia",[],[],[],[],https://twitter.com/XavierNoticias/status/1568184451825377280,
1568182425661882370,DilmaResiste,Dilma Resistente,https://twitter.com/DilmaResiste/photo,1,0,4,False,2022-09-09T10:20:00+00:00,"E o que a Sofia Manzano tem com isso? - Por Mouzar Benedito
Mouzar Benedito conta como ""conheceu"" a candidata do PCB à presidência da República https://revistaforum.com.br/opiniao/2022/9/8/que-sofia-manzano-tem-com-isso-por-mouzar-benedito-122976.html…
#Resistencia1617Dias #BolsonaroMente
Siga nosso Instagram 
@DilmaResiste","['Resistencia1617Dias', 'BolsonaroMente']",['DilmaResiste'],[],[],https://twitter.com/DilmaResiste/status/1568182425661882370,https://t.co/m801GFhdTn
1568180010002907136,Paulo68_22,Paulo68,https://twitter.com/Paulo68_22/photo,0,0,0,False,2022-09-09T10:10:24+00:00,"- Bolsonaro é Bolsonaro

- Eymael não tá nem aí pra paçoca
- D’Avila flerta com Ciro
- Roberto Jefferson atira pra todo lado

- Lula é Lula
- Ciro é Lula
- Tebet é Lula
- Thronicke não parece, mas é Lula
- Léo Péricles é Lula
- Sofia Manzano é Lula
- Vera Lúcia Salgado é Lula",[],[],[],[],https://twitter.com/Paulo68_22/status/1568180010002907136,
1568177033649209346,joaolasaror,joão Lásaro Rodrigues,https://twitter.com/joaolasaror/photo,0,0,0,False,2022-09-09T09:58:34+00:00,"que cara vagabundo,  como que ainda se candidata, falar algo assim, mas o que esperar de um esquerdopatas!?",[],[],[],[],https://twitter.com/joaolasaror/status/1568177033649209346,
1568174581210390529,AlexandreFenel1,Wally Gator,https://twitter.com/AlexandreFenel1/photo,0,0,0,False,2022-09-09T09:48:50+00:00,"E botar aqueles barcos hidrofólios legais, que existiam na URSS e navegavam a 60km/h.",[],[],[],[],https://twitter.com/AlexandreFenel1/status/1568174581210390529,
1568173539965935617,B22SkatePark,Skate Park,https://twitter.com/B22SkatePark/photo,0,0,0,False,2022-09-09T09:44:41+00:00,Aula pública sobre como passar vergonha numa eleição ,[],[],[],[],https://twitter.com/B22SkatePark/status/1568173539965935617,
1568172991611035648,eumariaregina,Maria Regina É SOFIA 21,https://twitter.com/eumariaregina/photo,0,0,0,False,2022-09-09T09:42:31+00:00,MAIS UM MOTIVO PARA VOTAR NA SOFIA MANZANO 21,[],[],[],[],https://twitter.com/eumariaregina/status/1568172991611035648,
1568163059729825792,IporaNews,Iporã News,https://twitter.com/IporaNews/photo,0,0,0,False,2022-09-09T09:03:03+00:00,Sofia Manzano propõe descriminalização das drogas | Agência Brasil,[],[],[],[],https://twitter.com/IporaNews/status/1568163059729825792,https://t.co/IkTygoK0kV
1568162707337084928,TodaBahia,Toda Bahia,https://twitter.com/TodaBahia/photo,0,1,0,False,2022-09-09T09:01:39+00:00,Sofia Manzano propõe legalização da maconha em curto prazo,[],[],[],[],https://twitter.com/TodaBahia/status/1568162707337084928,https://t.co/FA8YkSvMfn
1568161555820183552,LuErvalho,Luciane,https://twitter.com/LuErvalho/photo,0,0,0,False,2022-09-09T08:57:04+00:00,Vcs só estimulam a violência!!! Deveriam ser banidos das redes sociais!!! Medo de vcs!!!,[],[],[],[],https://twitter.com/LuErvalho/status/1568161555820183552,
1568161314060570625,AntonioApoema,Antonio Apoema,https://twitter.com/AntonioApoema/photo,0,1,0,False,2022-09-09T08:56:06+00:00,"A véia monarca já morreu, mano. Tá vendo a notícia, não? Kkkkk",[],[],[],[],https://twitter.com/AntonioApoema/status/1568161314060570625,
1568161164160286727,AntonioApoema,Antonio Apoema,https://twitter.com/AntonioApoema/photo,0,0,0,False,2022-09-09T08:55:31+00:00,,[],[],[],[],https://twitter.com/AntonioApoema/status/1568161164160286727,
